# Neutron scattering cross section data of natural elements and isotopes
# 
# Sources:
#    http://www.sisweb.com/referenc/source/exactmas.htm
# Z            charge number
# A            mass number, -1 for natural mixture of isotopes
# name         short atom name
# P            natural abundance, sum(P)=1
# bc           bound coherent scattering length (fm)
# mass         mass in g/mol
# sigma_coh    coherent cross section (barn)
# sigma_inc    incoherent cross section (barn)
# sigma_scatt  total cross section (barn)
# sigma_abs    thermal absorption cross section for thermal neutrons (barn)
#
  Z   A      P name     mass       bc  sigma_coh    sigma_inc sigma_scatt     sigma_abs
 50 114  0.007   Sn 113.9028   6.2000     4.8000     0.000000       4.800      0.114000
 50 115  0.004   Sn 114.9033   6.0000     4.5000     0.300000       4.800     30.000000
 50 116  0.147   Sn 115.9017   5.9300     4.4200     0.000000       4.420      0.140000
 50 117  0.077   Sn 116.9030   6.4800     5.2800     0.300000       5.600      2.300000
 50 118  0.243   Sn 117.9016   6.0700     4.6300     0.000000       4.630      0.220000
 50 119  0.086   Sn 118.9033   6.1200     4.7100     0.300000       5.000      2.200000
 50 120  0.324   Sn 119.9022   6.4900     5.2900     0.000000       5.290      0.140000
 50 122  0.046   Sn 121.9034   5.7400     4.1400     0.000000       4.140      0.180000
 50 124  0.056   Sn 123.9053   5.9700     4.4800     0.000000       4.480      0.133000
 51  -1 -1.000   Sb 121.7580   5.5700     3.9000     0.007000       3.900      4.910000
 51 121  0.573   Sb 120.9038   5.7100     4.1000     0.000300       4.100      5.750000
 51 123  0.427   Sb 122.9042   5.3800     3.6400     0.001000       3.640      3.800000
 52  -1 -1.000   Te 127.5856   5.8000     4.2300     0.090000       4.320      4.700000
 52 120  0.001   Te 119.9040   5.3000     3.5000     0.000000       3.500      2.300000
 52 122  0.026   Te 121.9031   3.8000     1.8000     0.000000       1.800      3.400000
 52 123  0.009   Te 122.9043  -0.0500     0.0020     0.520000       0.520    418.000000
 52 124  0.048   Te 123.9028   7.9600     8.0000     0.000000       8.000      6.800000
 52 125  0.071   Te 124.9044   5.0200     3.1700     0.008000       3.180      1.550000
 52 126  0.190   Te 125.9033   5.5600     3.8800     0.000000       3.880      1.040000
 52 128  0.317   Te 127.9045   5.8900     4.3600     0.000000       4.360      0.215000
 52 130  0.338   Te 129.9062   6.0200     4.5500     0.000000       4.550      0.290000
 53  -1  1.000    I 126.9045   5.2800     3.5000     0.310000       3.810      6.150000
 54  -1 -1.000   Xe 131.2931   4.9200     2.9600     0.000000         NaN     23.900000
 54 124  0.001   Xe 123.9059      NaN        NaN     0.000000         NaN    165.000000
 54 126  0.001   Xe 125.9043      NaN        NaN     0.000000         NaN      3.500000
 54 128  0.019   Xe 127.9035      NaN        NaN     0.000000         NaN           NaN
 54 129  0.264   Xe 128.9048      NaN        NaN          NaN         NaN     21.000000
 54 130  0.041   Xe 129.9035      NaN        NaN     0.000000         NaN           NaN
 54 131  0.212   Xe 130.9051      NaN        NaN          NaN         NaN     85.000000
 54 132  0.269   Xe 131.9041      NaN        NaN     0.000000         NaN      0.450000
 54 134  0.104   Xe 133.9054      NaN        NaN     0.000000         NaN      0.265000
 54 136  0.089   Xe 135.9072      NaN        NaN     0.000000         NaN      0.260000
 55  -1  1.000   Cs 132.9054   5.4200     3.6900     0.210000       3.900     29.000000
 56  -1 -1.000   Ba 137.3267   5.0700     3.2300     0.150000       3.380      1.100000
 56 130  0.001   Ba 129.9063  -3.6000     1.6000     0.000000       1.600     30.000000
